uf,mes,ano,vitimas
MG,1,2015,21
PA,1,2015,5
RN,1,2015,3
RR,1,2015,6
RS,1,2015,5
SC,1,2015,6
MG,2,2015,10
MS,2,2015,1
PA,2,2015,3
RN,2,2015,4
RS,2,2015,13
SC,2,2015,15
DF,3,2015,1
MA,3,2015,5
MG,3,2015,11
PA,3,2015,2
PB,3,2015,1
RN,3,2015,1
RS,3,2015,4
SC,3,2015,5
AL,4,2015,1
MA,4,2015,1
MG,4,2015,9
PA,4,2015,1
PB,4,2015,1
PI,4,2015,2
RN,4,2015,1
RS,4,2015,9
SP,4,2015,4
AC,5,2015,1
AL,5,2015,1
DF,5,2015,1
MA,5,2015,2
MG,5,2015,8
PA,5,2015,1
PB,5,2015,2
PI,5,2015,3
RN,5,2015,1
RS,5,2015,8
SC,5,2015,2
SP,5,2015,3
DF,6,2015,1
MA,6,2015,2
MG,6,2015,14
MS,6,2015,5
PB,6,2015,2
PI,6,2015,3
RN,6,2015,1
RS,6,2015,6
SC,6,2015,2
SP,6,2015,4
DF,7,2015,1
MA,7,2015,3
MG,7,2015,9
PA,7,2015,2
PB,7,2015,3
PI,7,2015,2
RN,7,2015,6
RS,7,2015,7
SC,7,2015,2
SP,7,2015,3
AL,8,2015,1
DF,8,2015,3
MA,8,2015,5
MG,8,2015,13
MS,8,2015,1
PA,8,2015,4
PB,8,2015,1
PI,8,2015,3
RN,8,2015,7
RS,8,2015,12
SC,8,2015,4
SP,8,2015,5
AL,9,2015,2
DF,9,2015,1
MA,9,2015,1
MG,9,2015,13
MS,9,2015,1
PA,9,2015,1
PB,9,2015,3
PI,9,2015,2
RN,9,2015,2
RS,9,2015,9
SC,9,2015,2
SP,9,2015,7
MA,10,2015,1
MG,10,2015,21
PA,10,2015,4
PB,10,2015,2
PI,10,2015,4
RN,10,2015,3
RS,10,2015,11
SC,10,2015,1
SP,10,2015,2
AC,11,2015,1
AL,11,2015,1
MA,11,2015,3
MG,11,2015,19
MS,11,2015,1
PA,11,2015,6
PB,11,2015,2
PI,11,2015,3
RN,11,2015,6
RS,11,2015,7
SC,11,2015,6
SP,11,2015,8
AC,12,2015,1
AL,12,2015,3
DF,12,2015,1
MA,12,2015,3
MG,12,2015,9
MS,12,2015,1
PA,12,2015,8
PB,12,2015,1
PI,12,2015,4
RN,12,2015,2
RS,12,2015,8
SC,12,2015,1
SP,12,2015,5
AL,1,2016,4
AM,1,2016,1
DF,1,2016,1
MA,1,2016,3
MG,1,2016,9
MS,1,2016,1
PA,1,2016,9
PB,1,2016,2
PI,1,2016,4
RN,1,2016,2
RR,1,2016,3
RS,1,2016,11
SC,1,2016,3
SP,1,2016,3
AC,2,2016,2
AL,2,2016,4
ES,2,2016,2
MA,2,2016,4
MG,2,2016,11
MS,2,2016,1
PA,2,2016,5
PB,2,2016,4
PI,2,2016,1
RN,2,2016,1
RS,2,2016,12
SC,2,2016,6
SP,2,2016,5
AL,3,2016,3
DF,3,2016,3
ES,3,2016,6
MA,3,2016,4
MG,3,2016,15
PA,3,2016,1
PB,3,2016,1
PI,3,2016,9
RN,3,2016,3
RS,3,2016,10
SC,3,2016,8
SP,3,2016,4
AC,4,2016,1
AL,4,2016,3
DF,4,2016,4
ES,4,2016,4
GO,4,2016,1
MA,4,2016,1
MG,4,2016,8
PA,4,2016,6
PB,4,2016,1
PI,4,2016,1
RN,4,2016,4
RS,4,2016,11
SC,4,2016,10
SP,4,2016,7
AC,5,2016,1
AL,5,2016,4
AM,5,2016,2
DF,5,2016,1
ES,5,2016,1
MA,5,2016,1
MG,5,2016,8
MS,5,2016,1
PA,5,2016,5
PB,5,2016,3
PI,5,2016,2
RN,5,2016,4
